icon_id,display_name,description,source_type,related_kind,related_id,matched_item_id,icon_path,icon_by_id_path,collision_types
0,Icone 0,,db_icon_unmapped,,,,all_icons_named_png/00000_icone_0.png,all_icons_by_id_png/0.png,db_asset
89,Dano a % de vida,"As habilidades destroem % da vida do alvo. Quando usada, o alvo perde primeiro o seu escudo de absorção de dano.",skill_icon,skill,245,,all_icons_named_png/00089_dano_a_de_vida.png,all_icons_by_id_png/89.png,"skill_icon,db_asset"
90,Солнечный удар (скилл для босса),,skill_icon,skill,156,,all_icons_named_png/00090_icon_90.png,all_icons_by_id_png/90.png,"skill_icon,db_asset"
91,Downpour (boss’s skill),"Habilidade de AdE ao redor do chefe, duração: 3 segundos. Para todos que estão sob o efeito de AdE, a defesa diminui em 15%.",skill_icon,skill,157,,all_icons_named_png/00091_downpour_bosss_skill.png,all_icons_by_id_png/91.png,"skill_icon,db_asset"
92,Icone 92,,db_icon_unmapped,,,,all_icons_named_png/00092_icone_92.png,all_icons_by_id_png/92.png,db_asset
93,-,-,skill_icon,skill,270,,all_icons_named_png/00093_icon_93.png,all_icons_by_id_png/93.png,"skill_icon,db_asset"
94,Destreza Incrível,"Adiciona 2,5% à Recarga de Habilidades do personagem. Dura 24 horas. Acumula até 3 vezes.",influence_icon,influence,94,,all_icons_named_png/00094_destreza_incrivel.png,all_icons_by_id_png/94.png,"influence_icon,db_asset"
95,Pétalas afiadas,Aumenta em 10% o dano causado pela habilidade Cascata de flores. Duração: 20 horas. Número máximo de auxílios: 5.,influence_icon,influence,95,,all_icons_named_png/00095_petalas_afiadas.png,all_icons_by_id_png/95.png,"skill_icon,influence_icon,db_asset,skill_vs_influence,icon_id_equals_influence_id"
96,Espinhos indefesos,Aumenta em 10% o dano causado pela habilidade Buquê de presente. Duração: 20 horas. Número máximo de auxílios: 5.,influence_icon,influence,96,,all_icons_named_png/00096_espinhos_indefesos.png,all_icons_by_id_png/96.png,"influence_icon,db_asset"
195,Habilidade do Mar,Adiciona 3% à Velocidade de Ataque e à Recarga de Habilidades do personagem enquanto está embaixo d'água. Dura 10 horas. Acumula até 4 vezes.,influence_icon,influence,195,,all_icons_named_png/00195_habilidade_do_mar.png,all_icons_by_id_png/195.png,"influence_icon,db_asset"
196,Fúria Absoluta,Aumenta em 10% a Fúria das Profundezas do personagem. Dura 20 horas. Este efeito não acumula.,influence_icon,influence,196,,all_icons_named_png/00196_furia_absoluta.png,all_icons_by_id_png/196.png,"influence_icon,db_asset"
197,Aventura Marítima,Permite que o personagem entre na masmorra da Toca dos Vagabundos do Mar de graça. Dura 2 horas. Este efeito não acumula.,influence_icon,influence,197,,all_icons_named_png/00197_aventura_maritima.png,all_icons_by_id_png/197.png,"influence_icon,db_asset"
